Nr.,x1,x2,y1,y2,z1,z2,z3,z4,U1,U2,Zeit
214,"1,2","2,2","-0,8","0,5","12,8","-20,8","-4,0","21,2","-0,0036","0,0191","0,107"
215,"1,2","2,2","-0,8","0,5","10,0","-18,0","-4,0","21,2","-0,0011","0,0191","0,1075"
216,"1,2","2,5","-0,5","0,5","12,8","-23,6","-4,0","21,2","-0,0011","0,0191","0,108"
217,"0,9","2,2","-0,8","0,5","10,0","-23,6","-4,0","15,6","-0,0036","0,0216","0,1085"
218,"1,2","2,5","-0,8","0,5","12,8","-26,4","-4,0","18,4","-0,0036","0,0191","0,109"
219,"0,9","1,9","-0,5","0,5","15,6","-29,2","-4,0","21,2","-0,0036","0,0166","0,1095"
220,"0,9","2,2","-0,5","0,9","12,8","-20,8","-6,8","18,4","-0,0036","0,0191","0,11"
221,"0,9","2,2","-0,5","0,5","15,6","-20,8","-4,0","21,2","-0,0036","0,0191","0,1105"
222,"0,9","2,5","-0,8","0,5","12,8","-20,8","-1,2","24,0","-0,0036","0,0191","0,111"
223,"0,9","2,2","-0,8","0,2","12,8","-23,6","-4,0","18,4","-0,0011","0,0191","0,1115"
224,"1,2","1,9","-0,8","0,5","15,6","-23,6","-4,0","21,2","-0,0061","0,0166","0,112"
225,"1,2","2,5","-0,8","0,5","12,8","-18,0","-1,2","21,2","-0,0036","0,0166","0,1125"
226,"1,2","2,2","-0,5","0,5","10,0","-20,8","-9,6","21,2","-0,0036","0,0191","0,113"
227,"1,2","2,2","-0,8","0,5","15,6","-23,6","-4,0","21,2","-0,0011","0,0166","0,1135"
228,"0,9","2,9","-0,5","0,5","15,6","-20,8","-4,0","18,4","-0,0036","0,0191","0,114"
229,"1,2","2,2","-0,5","0,2","15,6","-20,8","-4,0","21,2","-0,0061","0,0166","0,1145"
230,"1,2","2,2","-0,8","0,2","15,6","-23,6","-4,0","21,2","-0,0036","0,0216","0,115"
231,"0,9","2,2","-0,8","0,5","12,8","-18,0","-4,0","21,2","-0,0011","0,0166","0,1155"
232,"0,9","2,2","-0,5","0,5","12,8","-23,6","-4,0","21,2","-0,0036","0,0191","0,116"
233,"0,9","2,2","-0,8","0,5","12,8","-20,8","-4,0","21,2","-0,0036","0,0166","0,1165"
234,"1,2","2,2","-1,2","0,2","12,8","-20,8","-4,0","21,2","-0,0011","0,0191","0,117"
235,"1,2","2,2","-0,8","0,5","12,8","-23,6","-1,2","21,2","-0,0036","0,0191","0,1175"
236,"0,9","2,2","-1,2","0,5","15,6","-20,8","-4,0","18,4","-0,0061","0,0191","0,118"
237,"1,2","1,9","-0,8","0,2","15,6","-20,8","-4,0","21,2","-0,0036","0,0191","0,1185"
238,"0,9","1,9","-0,8","0,5","15,6","-20,8","-4,0","15,6","-0,0036","0,0191","0,119"
239,"1,2","2,2","-0,8","0,5","12,8","-20,8","-6,8","18,4","-0,0011","0,0191","0,1195"
240,"0,9","2,2","-0,5","0,5","15,6","-23,6","-4,0","24,0","-0,0036","0,0191","0,12"
241,"0,9","2,2","-1,2","0,5","12,8","-20,8","-4,0","24,0","-0,0036","0,0191","0,1205"
242,"0,9","2,2","-0,8","0,5","10,0","-20,8","-4,0","24,0","-0,0036","0,0216","0,121"
243,"1,2","2,2","-0,8","0,5","12,8","-20,8","-4,0","18,4","-0,0011","0,0191","0,1215"
244,"1,5","2,2","-1,2","0,5","12,8","-23,6","-4,0","21,2","-0,0036","0,0166","0,122"
245,"1,2","1,9","-0,8","0,9","12,8","-20,8","-4,0","21,2","-0,0036","0,0191","0,1225"
246,"0,9","2,2","-1,2","0,5","15,6","-23,6","-4,0","18,4","-0,0036","0,0191","0,123"
247,"0,9","2,2","-1,2","0,2","15,6","-23,6","-1,2","21,2","-0,0011","0,0191","0,1235"
248,"0,9","2,2","-1,2","0,5","12,8","-20,8","-4,0","21,2","-0,0011","0,0191","0,124"
249,"1,2","1,9","-1,2","0,2","15,6","-23,6","-4,0","21,2","-0,0036","0,0191","0,1245"
250,"1,2","2,2","-0,5","0,5","12,8","-20,8","-4,0","21,2","-0,0036","0,0191","0,125"
251,"0,9","2,5","-0,8","0,5","12,8","-26,4","-4,0","24,0","-0,0036","0,0166","0,1255"
252,"0,9","2,5","-0,8","0,5","18,4","-20,8","-4,0","21,2","-0,0061","0,0191","0,126"
253,"1,2","1,9","-0,5","0,5","12,8","-20,8","-4,0","24,0","-0,0036","0,0191","0,1265"
254,"1,2","2,2","-0,8","0,2","15,6","-23,6","-4,0","21,2","-0,0061","0,0166","0,127"
255,"1,2","1,9","-0,8","0,2","10,0","-23,6","-4,0","18,4","-0,0036","0,0191","0,1275"
