Nr.;x1;x2;y1;y2;z1;z2;z3;z4;U1;U2;Zeit
118;-0,1;0,2;0,2;-0,1;4,4;-6,8;-6,8;12,8;-0,0061;0,0065;0,059
119;-0,1;0,5;0,2;0,2;4,4;-6,8;-4;10;-0,0036;0,009;0,0595
120;-0,1;0,5;0,2;0,2;-1,2;-6,8;-9,6;10;-0,0087;0,0065;0,06
121;-0,1;0,9;0,2;-0,1;1,6;-4;-6,8;7,2;-0,0061;0,0065;0,0605
122;0,2;0,5;-0,1;0,2;4,4;-4;-6,8;7,2;-0,0061;0,0065;0,061
123;-0,5;0,5;-0,1;0,2;4,4;-6,8;-6,8;10;-0,0061;0,0039;0,0615
124;0,2;0,5;-0,1;0,2;1,6;-4;-6,8;10;-0,0061;0,0065;0,062
125;-0,1;0,5;-0,1;0,2;1,6;-12,4;-6,8;7,2;-0,0036;0,0065;0,0625
126;0,2;0,5;-0,1;0,5;4,4;-4;-6,8;10;-0,0036;0,009;0,063
127;0,2;0,9;-0,1;0,2;1,6;-6,8;-6,8;10;-0,0061;0,0065;0,0635
128;-0,1;0,5;-0,1;-0,1;1,6;-4;-6,8;7,2;-0,0061;0,009;0,064
129;-0,1;0,5;-0,1;0,2;4,4;-6,8;-9,6;10;-0,0036;0,009;0,0645
130;0,2;0,9;-0,1;-0,1;4,4;-4;-4;10;-0,0061;0,009;0,065
131;-0,8;0,5;0,2;0,2;1,6;-4;-6,8;10;-0,0061;0,0065;0,0655
132;-0,1;0,9;-0,5;0,2;1,6;-4;-9,6;10;-0,0036;0,009;0,066
133;0,2;0,9;-0,1;0,2;4,4;-6,8;-6,8;7,2;-0,0087;0,0065;0,0665
134;-0,1;0,5;-0,5;0,5;4,4;-6,8;-6,8;7,2;-0,0061;0,009;0,067
135;-0,1;0,5;-0,1;-0,1;4,4;-6,8;-12,4;7,2;-0,0188;0,009;0,0675
136;0,2;0,9;0,2;0,2;1,6;-6,8;-9,6;12,8;-0,0036;0,0065;0,068
137;-0,1;0,9;-0,1;0,5;1,6;-6,8;-1,2;10;-0,0087;0,009;0,0685
138;-0,1;0,5;0,2;-0,1;4,4;-6,8;-4;10;-0,0087;0,009;0,069
139;-0,1;0,5;-0,1;0,2;4,4;-4;-18;7,2;-0,0061;0,009;0,0695
140;0,2;0,5;-0,5;-0,1;4,4;-9,6;-6,8;10;-0,0061;0,009;0,07
141;0,2;0,5;-0,1;-0,1;4,4;-9,6;-12,4;10;-0,0087;0,009;0,0705
142;-0,1;0,5;0,2;-0,1;4,4;-4;-9,6;12,8;-0,0087;0,0065;0,071
143;-0,1;0,9;0,2;0,2;4,4;-6,8;-6,8;7,2;-0,0061;0,009;0,0715
144;-0,1;0,9;-0,1;0,2;4,4;-6,8;-9,6;10;-0,0061;0,0115;0,072
145;0,2;0,5;-0,1;-0,5;1,6;-6,8;-6,8;10;-0,0061;0,0065;0,0725
146;0,2;0,9;-0,1;0,5;4,4;-6,8;-6,8;10;-0,0061;0,009;0,073
